"CASE";"OFFENSE";"OFFENSE DESCRIPTION";"REPORT DATE";"OCC DATE";"DAY OF WEEK";"LOCATION";"Location 1"
"SL2012108122";"2499-14";"STOLEN VEHICLE";"2012-06-26 11:13:00";"2012-06-26 11:13:00";"3";"200 S NAVAJO ST Salt lake City Utah  (40.76440256300049, -111.92953459999967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012182732";"2499-13";"STOLEN VEHICLE";"2012-10-18 20:10:00";"2012-10-18 20:10:00";"5";"00 N A ST Salt lake City Utah  (40.76995732400047, -111.88353713699968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012211876";"2404-0";"STOLEN VEHICLE";"2012-12-11 12:01:00";"2012-12-11 12:00:00";"3";"700 S REDWOOD RD Salt lake City Utah  (40.828761855000494, -111.9372164399997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012110576";"2499-16";"STOLEN VEHICLE";"2012-06-29 18:55:00";"2012-06-29 18:55:00";"6";"500 S 900 E Salt lake City Utah  (40.75842435800047, -111.8653630989997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012212734";"2499-17";"STOLEN VEHICLE";"2012-12-13 04:38:00";"2012-12-13 04:38:00";"5";"500 E 1700 S Salt lake City Utah  (40.733493318000455, -111.8766385459997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012155215";"2404-64";"STOLEN VEHICLE";"2012-09-04 10:40:00";"2012-09-04 00:00:00";"3";"1200 E BRYAN AVE Salt lake City Utah  (40.73556581800045, -111.8566797199997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012220493";"2499-17";"STOLEN VEHICLE";"2012-12-29 08:44:00";"2012-12-28 21:00:00";"6";"600 E MEADOW LN Salt lake City Utah  (40.71659447400049, -111.87244929199971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201222813";"2499-15";"STOLEN VEHICLE";"2012-02-09 13:01:00";"2012-02-09 10:00:00";"5";"900 E 400 S Salt lake City Utah  (40.760546526000496, -111.86521760699969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012138644";"2499-17";"STOLEN VEHICLE";"2012-08-10 09:25:00";"2012-08-10 09:25:00";"6";"1200 W 300 S Salt lake City Utah  (40.76282688500049, -111.92553847199969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012198515";"2499-13";"STOLEN VEHICLE";"2012-11-15 18:18:00";"2012-11-15 18:18:00";"5";"1000 S CHEYENNE ST Salt lake City Utah  (40.74803911800046, -111.93455270099969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201231542";"2499-13";"STOLEN VEHICLE";"2012-02-24 14:07:00";"2012-02-24 14:07:00";"6";"200 N 300 W Salt lake City Utah  (40.77374055700045, -111.89965195199972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201236518";"2499-13";"STOLEN VEHICLE";"2012-03-04 00:50:00";"2012-03-04 00:00:00";"1";"900 S 300 W Salt lake City Utah  (40.749682660000474, -111.89971433499971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012144416";"2499-13";"STOLEN VEHICLE";"2012-08-18 19:16:00";"2012-08-18 19:16:00";"7";"700 E 4TH AVE Salt lake City Utah  (40.77392653400045, -111.8684496569997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201213363";"2499-17";"STOLEN VEHICLE";"2012-01-24 07:16:00";"2012-01-24 07:16:00";"3";"300 E HARRISON AVE Salt lake City Utah  (40.73994296300049, -111.8823788309997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012153619";"2499-14";"STOLEN VEHICLE";"2012-09-01 15:56:00";"2012-09-01 15:56:00";"7";"SOUTH TEMPLE ST / REDWOOD RD Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012211119";"2499-15";"STOLEN VEHICLE";"2012-12-09 16:28:00";"2012-12-09 16:28:00";"1";"300 E SOUTH TEMPLE ST Salt lake City Utah  (40.76931479400048, -111.88220546199972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012204766";"2499-17";"STOLEN VEHICLE";"2012-11-28 08:57:00";"2012-11-28 06:00:00";"4";"500 N PAMELA WAY Salt lake City Utah  (40.78040408600049, -111.94283993399966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012207210";"2499-13";"STOLEN VEHICLE";"2012-12-02 13:27:00";"2012-11-29 17:00:00";"5";"200 S FOSS ST Salt lake City Utah  (40.76487192500048, -111.9348839059997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012166081";"2499-14";"STOLEN VEHICLE";"2012-09-21 11:49:00";"2012-09-21 11:49:00";"6";"900 E DOWNINGTON AVE Salt lake City Utah  (40.731013404000464, -111.8652088019997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201271145";"2499-14";"STOLEN VEHICLE";"2012-04-29 09:21:00";"2012-04-29 09:21:00";"1";"200 E ROSEWOOD AVE Salt lake City Utah  (40.72742584000048, -111.88530076099971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20127078";"2499-14";"STOLEN VEHICLE";"2012-01-13 09:34:00";"2012-01-13 09:34:00";"6";"1800 W INDEPENDENCE BLVD Salt lake City Utah  (40.801798061000454, -111.94243840399969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012171765";"2499-17";"STOLEN VEHICLE";"2012-09-30 09:10:00";"2012-09-28 08:00:00";"6";"700 S 300 E Salt lake City Utah  (40.75405378300047, -111.8825243979997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012177130";"2408-0";"STOLEN VEHICLE";"2012-10-09 13:54:00";"2012-10-09 13:54:00";"3";"300 E 700 S Salt lake City Utah  (40.75411646200047, -111.8823688819997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012183569";"2499-13";"STOLEN VEHICLE";"2012-10-20 09:59:00";"2012-10-20 09:59:00";"7";"1700 W 1300 N Salt lake City Utah  (40.797790343000486, -111.93930786899966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012211826";"2499-13";"STOLEN VEHICLE";"2012-12-11 11:14:00";"2012-12-11 11:14:00";"3";"800 S 3600 W Salt lake City Utah  (40.75137453800045, -111.97728215299969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012209486";"2499-16";"STOLEN VEHICLE";"2012-12-06 19:08:00";"2012-12-06 19:08:00";"5";"1300 S WEST TEMPLE ST Salt lake City Utah  (40.74151196300045, -111.8939739119997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012136652";"2499-13";"STOLEN VEHICLE";"2012-08-07 11:28:00";"2012-08-06 19:00:00";"2";"1700 S 600 E Salt lake City Utah  (40.73343036500046, -111.87394535999971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20123853";"2499-13";"STOLEN VEHICLE";"2012-01-07 20:13:00";"2012-01-07 20:13:00";"7";"REDWOOD RD / NORTH TEMPLE ST Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012133349";"2499-13";"STOLEN VEHICLE";"2012-08-02 06:56:00";"2012-08-02 06:56:00";"5";"700 S 800 W Salt lake City Utah  (40.75400036800045, -111.91410226899967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201298639";"2499-14";"STOLEN VEHICLE";"2012-06-12 06:24:00";"2012-06-12 06:10:00";"3";"100 W 600 S Salt lake City Utah  (40.75632706100049, -111.89405821499969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201284848";"2499-13";"STOLEN VEHICLE";"2012-05-21 07:57:00";"2012-05-20 22:30:00";"1";"300 E EDITH AVE Salt lake City Utah  (40.74250188700046, -111.8823660759997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012100054";"2499-13";"STOLEN VEHICLE";"2012-06-14 10:04:00";"2012-06-14 03:30:00";"5";"1600 W EARNSHAW LN Salt lake City Utah  (40.80718770700048, -111.93839542599972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201226372";"2499-14";"STOLEN VEHICLE";"2012-02-15 16:08:00";"2012-02-15 16:08:00";"4";"1000 E 400 S Salt lake City Utah  (40.76063404500047, -111.86194985799972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012147435";"2499-14";"STOLEN VEHICLE";"2012-08-23 12:05:00";"2012-08-23 12:05:00";"5";"700 W 1355 S Salt lake City Utah  (40.74031870200048, -111.91123587299967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012208253";"2499-17";"STOLEN VEHICLE";"2012-12-04 14:02:00";"2012-12-04 14:02:00";"3";"3700 W TERMINAL WESTBOUND DR Salt lake City Utah  (40.66726905100046, -111.92357267799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012146948";"2499-13";"STOLEN VEHICLE";"2012-08-22 17:30:00";"2012-08-22 08:00:00";"4";"500 E 11TH AVE Salt lake City Utah  (40.78188707300046, -111.87442867899966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20126019";"2499-13";"STOLEN VEHICLE";"2012-01-11 23:14:00";"2012-01-11 23:14:00";"4";"300 W SOUTH TEMPLE ST Salt lake City Utah  (40.76931479400048, -111.88220546199972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201272175";"2499-13";"STOLEN VEHICLE";"2012-05-01 06:00:00";"2012-05-01 06:00:00";"3";"1500 W 400 S Salt lake City Utah  (40.7606742910005, -111.93439544599971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012139706";"2499-13";"STOLEN VEHICLE";"2012-08-11 20:14:00";"2012-08-11 20:14:00";"7";"1100 S 700 W Salt lake City Utah  (40.74525566500046, -111.9111093459997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201247036";"2499-13";"STOLEN VEHICLE";"2012-03-21 15:22:00";"2012-03-21 13:00:00";"4";"400 N CENTER ST Salt lake City Utah  (40.77849512200049, -111.89397602599968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012184330";"2499-13";"STOLEN VEHICLE";"2012-10-21 19:02:00";"2012-10-21 18:40:00";"1";"700 S STATE ST Salt lake City Utah  (40.75408008000045, -111.8882624469997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201284012";"2499-13";"STOLEN VEHICLE";"2012-05-19 19:43:00";"2012-05-16 19:43:00";"4";"2200 S FOOTHILL DR Salt lake City Utah  (40.72348132200045, -111.81333692699968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012159145";"2499-17";"STOLEN VEHICLE";"2012-09-10 07:37:00";"2012-09-10 07:15:00";"2";"1500 S WASATCH DR Salt lake City Utah  (40.73722132900048, -111.81850017799968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012135767";"2499-16";"STOLEN VEHICLE";"2012-08-05 21:13:00";"2012-08-05 21:13:00";"1";"200 W 400 N Salt lake City Utah  (40.7780794520005, -111.8970164369997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012126027";"2499-13";"STOLEN VEHICLE";"2012-07-22 08:24:00";"2012-07-22 07:49:00";"1";"800 N EAST CAPITOL BLVD Salt lake City Utah  (40.78689857000046, -111.88618197199969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20129428";"2499-17";"STOLEN VEHICLE";"2012-01-17 04:59:00";"2012-01-17 04:59:00";"3";"1600 W BRIAR ROSE PL Salt lake City Utah  (40.733841853000456, -111.9372453799997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012193199";"2499-17";"STOLEN VEHICLE";"2012-11-06 08:06:00";"2012-11-06 08:00:00";"3";"300 E HUBBARD AVE Salt lake City Utah  (40.74859385700046, -111.88236903899968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012160637";"2499-13";"STOLEN VEHICLE";"2012-09-12 18:10:00";"2012-09-12 18:10:00";"4";"900 E 900 S Salt lake City Utah  (40.749763327000494, -111.86523091099968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012179683";"2499-16";"STOLEN VEHICLE";"2012-10-13 17:08:00";"2012-10-13 17:08:00";"7";"1100 E WHITLOCK AVE Salt lake City Utah  (40.71639519500047, -111.8580480759997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012126066";"2499-17";"STOLEN VEHICLE";"2012-07-22 10:18:00";"2012-07-22 10:18:00";"1";"1400 S WEST TEMPLE ST Salt lake City Utah  (40.739161252000486, -111.89395514399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012181111";"2499-14";"STOLEN VEHICLE";"2012-10-16 10:10:00";"2012-10-16 10:10:00";"3";"200 S FOSS ST Salt lake City Utah  (40.76487192500048, -111.9348839059997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201263445";"2499-15";"STOLEN VEHICLE";"2012-04-17 15:14:00";"2012-04-02 09:30:00";"2";"2000 S 900 W Salt lake City Utah  (40.72714925300045, -111.91690177099969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012169691";"2499-17";"STOLEN VEHICLE";"2012-09-27 08:52:00";"2012-09-27 08:00:00";"5";"2900 S JUDITH ST Salt lake City Utah  (40.707778773000484, -111.85918260899967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012156619";"2499-17";"STOLEN VEHICLE";"2012-09-06 10:17:00";"2012-09-06 10:17:00";"5";"600 S REDWOOD RD Salt lake City Utah  (40.7561771070005, -111.93906526499967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012121463";"2499-14";"STOLEN VEHICLE";"2012-07-15 14:36:00";"2012-07-15 14:36:00";"1";"2600 E EAGLE WAY Salt lake City Utah  (40.736647131000495, -111.8157076279997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201238930";"2499-13";"STOLEN VEHICLE";"2012-03-08 07:27:00";"2012-03-08 07:27:00";"5";"2400 S ALDEN ST Salt lake City Utah  (40.71814346500048, -111.85259151799971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012199476";"2499-17";"STOLEN VEHICLE";"2012-11-17 15:12:00";"2012-11-17 15:12:00";"7";"200 E 3RD AVE Salt lake City Utah  (40.77280509500048, -111.88341810799972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012219006";"2499-13";"STOLEN VEHICLE";"2012-12-26 03:25:00";"2012-12-26 03:25:00";"4";"300 S 900 E Salt lake City Utah  (40.76275092300045, -111.86537195799968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012135825";"2499-13";"STOLEN VEHICLE";"2012-08-06 00:00:00";"2012-08-06 00:00:00";"2";"100 S 300 W Salt lake City Utah  (40.83993092200046, -111.90432455599966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012205903";"2499-13";"STOLEN VEHICLE";"2012-11-30 07:18:00";"2012-11-29 20:30:00";"5";"1600 W BRIAR ROSE PL Salt lake City Utah  (40.733841853000456, -111.9372453799997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012195520";"2499-13";"STOLEN VEHICLE";"2012-11-10 08:27:00";"2012-11-09 00:00:00";"6";"700 S JEREMY ST Salt lake City Utah  (40.75400036800045, -111.9154042239997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012113626";"2499-13";"STOLEN VEHICLE";"2012-07-04 06:50:00";"2012-07-04 01:30:00";"4";"100 N B ST Salt lake City Utah  (40.77180091000048, -111.8820135629997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012107964";"2499-13";"STOLEN VEHICLE";"2012-06-26 02:35:00";"2012-06-26 02:35:00";"3";"300 E 5TH AVE Salt lake City Utah  (40.775076166000474, -111.88042919799972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201256533";"2499-17";"STOLEN VEHICLE";"2012-04-05 22:30:00";"2012-04-05 22:30:00";"5";"700 W 300 N Salt lake City Utah  (40.77588664600046, -111.91125851599969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012188009";"2499-15";"STOLEN VEHICLE";"2012-10-28 02:41:00";"2012-10-28 02:41:00";"1";"100 W PIERPONT AVE Salt lake City Utah  (40.76394928400049, -111.89408443099967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012144807";"2499-13";"STOLEN VEHICLE";"2012-08-19 12:14:00";"2012-08-19 11:30:00";"1";"500 N COLUMBUS ST Salt lake City Utah  (40.78004123700049, -111.88992759599967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201225858";"2499-13";"STOLEN VEHICLE";"2012-02-14 16:09:00";"2012-02-14 16:09:00";"3";"500 E 700 S Salt lake City Utah  (40.754103177000445, -111.87666950799968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012195732";"2499-17";"STOLEN VEHICLE";"2012-11-10 16:05:00";"2012-11-10 16:05:00";"7";"800 E 400 S Salt lake City Utah  (40.760546526000496, -111.86794993999968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201294291";"2499-13";"STOLEN VEHICLE";"2012-06-05 07:26:00";"2012-06-05 07:26:00";"3";"1900 W REDCLOVER DR Salt lake City Utah  (40.78842866600047, -111.94636597699969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201292565";"2499-13";"STOLEN VEHICLE";"2012-06-02 12:50:00";"2012-06-02 12:50:00";"7";"200 S FOSS ST Salt lake City Utah  (40.76487192500048, -111.9348839059997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012108123";"2499-13";"STOLEN VEHICLE";"2012-06-26 11:00:00";"2012-06-25 23:45:00";"2";"200 E 2ND AVE Salt lake City Utah  (40.77168399800047, -111.88342724299969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012165624";"2499-13";"STOLEN VEHICLE";"2012-09-20 15:46:00";"2012-09-20 15:46:00";"5";"2200 S WINDSOR ST Salt lake City Utah  (40.72209397500046, -111.86680386799969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012117597";"2499-14";"STOLEN VEHICLE";"2012-07-09 19:03:00";"2012-07-09 19:03:00";"2";"00 S 615 W Salt lake City Utah  (40.67691476200048, -111.8733726749997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012108559";"2499-13";"STOLEN VEHICLE";"2012-06-26 22:28:00";"2012-06-26 22:28:00";"3";"1200 W PACIFIC AVE Salt lake City Utah  (40.75958231600049, -111.92556213899968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012147563";"2499-14";"STOLEN VEHICLE";"2012-08-23 15:26:00";"2012-08-23 15:26:00";"5";"500 N GRANT ST Salt lake City Utah  (40.78029018800049, -111.91251207499971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012198223";"2499-13";"STOLEN VEHICLE";"2012-11-15 09:18:00";"2012-11-14 20:00:00";"4";"00 S 400 E Salt lake City Utah  (40.68481389200048, -111.87993769599967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012116625";"2499-13";"STOLEN VEHICLE";"2012-07-08 07:11:00";"2012-07-08 07:11:00";"1";"100 N I ST Salt lake City Utah  (40.771800666000445, -111.87155258199971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201288875";"2499-13";"STOLEN VEHICLE";"2012-05-27 12:58:00";"2012-05-27 02:00:00";"1";"100 W 600 S Salt lake City Utah  (40.75632706100049, -111.89405821499969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201233227";"2499-17";"STOLEN VEHICLE";"2012-02-27 10:40:00";"2012-02-25 15:00:00";"7";"00 E 900 S Salt lake City Utah  (40.74979030600048, -111.88389362399971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012122630";"2499-15";"STOLEN VEHICLE";"2012-07-17 12:23:00";"2012-07-17 11:30:00";"3";"500 W 200 N Salt lake City Utah  (40.77373017800045, -111.90558564199966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012177271";"2499-13";"STOLEN VEHICLE";"2012-10-09 17:33:00";"2012-10-09 17:33:00";"3";"800 E SOUTH TEMPLE ST Salt lake City Utah  (40.76933693600046, -111.8677838429997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20121705";"2499-17";"STOLEN VEHICLE";"2012-01-04 08:35:00";"2012-01-04 08:35:00";"4";"800 N STAR CREST DR Salt lake City Utah  (40.786671252000474, -111.94354076199971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012101317";"2499-13";"STOLEN VEHICLE";"2012-06-16 08:19:00";"2012-06-16 03:00:00";"7";"1300 E 900 S Salt lake City Utah  (40.75032833600045, -111.92832082399968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20121982";"2499-13";"STOLEN VEHICLE";"2012-01-04 16:01:00";"2012-01-04 08:50:00";"4";"200 N 300 W Salt lake City Utah  (40.77374055700045, -111.89965195199972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012167024";"2499-13";"STOLEN VEHICLE";"2012-09-22 18:41:00";"2012-09-22 18:41:00";"7";"100 N REDWOOD RD Salt lake City Utah  (40.77173005500049, -111.93923315599972)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201225869";"2499-13";"STOLEN VEHICLE";"2012-02-14 16:39:00";"2012-02-14 16:39:00";"3";"200 N 800 W Salt lake City Utah  (40.77378041300045, -111.91382288999966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012183538";"2499-17";"STOLEN VEHICLE";"2012-10-20 08:38:00";"2012-10-20 08:38:00";"7";"300 S 1000 W Salt lake City Utah  (40.7627240380005, -111.91973380399969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012119850";"2499-17";"STOLEN VEHICLE";"2012-07-13 08:34:00";"2012-07-13 08:34:00";"6";"1600 W BUNBURY LN Salt lake City Utah  (40.75514024500046, -111.9365168549997)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012142587";"2499-13";"STOLEN VEHICLE";"2012-08-16 07:26:00";"2012-08-16 00:45:00";"5";"3100 W 500 S Salt lake City Utah  (40.70356067400047, -111.87694633899969)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012152626";"2499-17";"STOLEN VEHICLE";"2012-08-31 06:20:00";"2012-08-31 06:20:00";"6";"500 N REDWOOD RD Salt lake City Utah  (40.78028133000049, -111.93936157599967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL20124280";"2499-16";"STOLEN VEHICLE";"2012-01-08 18:11:00";"2012-01-08 18:11:00";"1";"2600 S 700 E Salt lake City Utah  (40.714104456000484, -111.87129272799967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201227864";"2499-14";"STOLEN VEHICLE";"2012-02-18 02:07:00";"2012-02-18 02:07:00";"7";"1600 W 200 S Salt lake City Utah  (40.72279801900049, -111.93717150099968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201290819";"2499-15";"STOLEN VEHICLE";"2012-05-30 21:21:00";"2012-05-30 21:21:00";"4";"400 S 300 W Salt lake City Utah  (40.760572141000466, -111.89972319799966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012128305";"2499-14";"STOLEN VEHICLE";"2012-07-25 14:40:00";"2012-07-25 14:40:00";"4";"700 S 5600 W Salt lake City Utah  (40.7547221370005, -112.02499401399967)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL2012220576";"2499-13";"STOLEN VEHICLE";"2012-12-29 14:26:00";"2012-12-22 12:00:00";"7";"700 W 300 S Salt lake City Utah  (40.762857504000465, -111.91149225299966)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201294913";"2499-17";"STOLEN VEHICLE";"2012-06-06 04:23:00";"2012-06-06 04:23:00";"4";"1200 N REDWOOD RD Salt lake City Utah  (40.79498040800047, -111.93919375499968)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
"SL201294878";"2499-15";"STOLEN VEHICLE";"2012-06-06 00:51:00";"2012-06-05 22:30:00";"3";"1000 W 400 S Salt lake City Utah  (40.76069791000049, -111.91972533599971)";" Salt lake City Utah  (40.66726905100046, -111.92357267799969)"
